LECROYWaveRunnerrP,20594,Histogram
Segments,1,SegmentSize,200
Segment,TrigTime,TimeSinceSegment1
#1,24-May-2022 15:10:29,0                 
Time,Ampl
-3.9e-010,0
-3.65e-010,0
-3.4e-010,0
-3.15e-010,0
-2.9e-010,0
-2.65e-010,0
-2.4e-010,0
-2.15e-010,0
-1.9e-010,0
-1.65e-010,0
-1.4e-010,0
-1.15e-010,0
-9e-011,0
-6.5e-011,0
-4e-011,0
-1.5e-011,0
1e-011,0
3.5e-011,0
6e-011,0
8.5e-011,0
1.1e-010,0
1.35e-010,0
1.6e-010,0
1.85e-010,0
2.1e-010,0
2.35e-010,0
2.6e-010,0
2.85e-010,0
3.1e-010,0
3.35e-010,0
3.6e-010,0
3.85e-010,0
4.1e-010,0
4.35e-010,0
4.6e-010,0
4.85e-010,0
5.1e-010,0
5.35e-010,0
5.6e-010,0
5.85e-010,0
6.1e-010,0
6.35e-010,0
6.6e-010,0
6.85e-010,0
7.1e-010,0
7.35e-010,0
7.6e-010,0
7.85e-010,0
8.1e-010,0
8.35e-010,0
8.6e-010,1
8.85e-010,1
9.1e-010,0
9.35e-010,1
9.6e-010,4
9.85e-010,2
1.01e-009,1
1.035e-009,1
1.06e-009,1
1.085e-009,2
1.11e-009,3
1.135e-009,4
1.16e-009,4
1.185e-009,2
1.21e-009,4
1.235e-009,9
1.26e-009,5
1.285e-009,11
1.31e-009,6
1.335e-009,15
1.36e-009,16
1.385e-009,16
1.41e-009,21
1.435e-009,11
1.46e-009,21
1.485e-009,18
1.51e-009,35
1.535e-009,18
1.56e-009,33
1.585e-009,27
1.61e-009,42
1.635e-009,39
1.66e-009,42
1.685e-009,56
1.71e-009,58
1.735e-009,52
1.76e-009,51
1.785e-009,34
1.81e-009,63
1.835e-009,55
1.86e-009,53
1.885e-009,60
1.91e-009,55
1.935e-009,73
1.96e-009,72
1.985e-009,78
2.01e-009,70
2.035e-009,72
2.06e-009,51
2.085e-009,63
2.11e-009,63
2.135e-009,56
2.16e-009,57
2.185e-009,53
2.21e-009,53
2.235e-009,55
2.26e-009,45
2.285e-009,32
2.31e-009,36
2.335e-009,23
2.36e-009,30
2.385e-009,26
2.41e-009,34
2.435e-009,21
2.46e-009,18
2.485e-009,20
2.51e-009,15
2.535e-009,17
2.56e-009,15
2.585e-009,7
2.61e-009,7
2.635e-009,8
2.66e-009,12
2.685e-009,5
2.71e-009,6
2.735e-009,5
2.76e-009,5
2.785e-009,3
2.81e-009,6
2.835e-009,2
2.86e-009,1
2.885e-009,2
2.91e-009,1
2.935e-009,1
2.96e-009,1
2.985e-009,1
3.01e-009,2
3.035e-009,0
3.06e-009,0
3.085e-009,1
3.11e-009,3
3.135e-009,0
3.16e-009,0
3.185e-009,0
3.21e-009,1
3.235e-009,1
3.26e-009,0
3.285e-009,0
3.31e-009,0
3.335e-009,0
3.36e-009,0
3.385e-009,0
3.41e-009,0
3.435e-009,0
3.46e-009,0
3.485e-009,0
3.51e-009,0
3.535e-009,0
3.56e-009,0
3.585e-009,0
3.61e-009,0
3.635e-009,0
3.66e-009,0
3.685e-009,0
3.71e-009,0
3.735e-009,0
3.76e-009,0
3.785e-009,0
3.81e-009,0
3.835e-009,0
3.86e-009,0
3.885e-009,0
3.91e-009,0
3.935e-009,0
3.96e-009,0
3.985e-009,0
4.01e-009,0
4.035e-009,0
4.06e-009,0
4.085e-009,0
4.11e-009,0
4.135e-009,0
4.16e-009,0
4.185e-009,0
4.21e-009,0
4.235e-009,0
4.26e-009,0
4.285e-009,0
4.31e-009,0
4.335e-009,0
4.36e-009,0
4.385e-009,0
4.41e-009,0
4.435e-009,0
4.46e-009,0
4.485e-009,0
4.51e-009,0
4.535e-009,0
4.56e-009,0
4.585e-009,0
